,laptop_id,name,price,processor,ram,os,storage,img_link,display,rating,no_of_ratings,no_of_reviews,laptop_brand,os_brand,processor_brand,usecases
0,0,Lenovo Intel Core i5 11th Gen,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70,15.6,4.5,14.0,1.0,Lenovo,Windows,Intel, Business/Professional
1,1,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS,161990,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l58iaa80/computer/e/u/f/ga503rm-hq030ws-gaming-laptop-asus-original-imagfyjedtcx2vfw.jpeg?q=70,15.6,3.8,5.0,1.0,ASUS,Windows,AMD, Gaming
2,2,ASUS VivoBook 15 (2022) Core i3 10th Gen,33990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/1/7/-original-imag3ebnzawky4kn.jpeg?q=70,15.6,4.3,10406.0,1040.0,ASUS,Windows,Intel, Home/Everyday use
3,3,Lenovo Athlon Dual Core,18990,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,DOS Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70,14.0,3.8,18.0,3.0,Lenovo,DOS,AMD, Budget Friendly
4,4,APPLE 2020 Macbook Air M1,86990,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,13.3,4.7,8865.0,795.0,APPLE,MacOS,Apple M1, Multimedia/Entertainment
5,5,ASUS VivoBook 14 (2021) Celeron Dual Core,23990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,14.0,4.1,790.0,95.0,ASUS,Windows,Intel, Budget Friendly
6,6,Lenovo V15 G2 Core i3 11th Gen,33999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,15.6,4.0,112.0,8.0,Lenovo,Windows,Intel, Home/Everyday use
7,7,RedmiBook Pro Core i5 11th Gen,38990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70,15.6,4.1,3955.0,462.0,Redmi,Windows,Intel, Business/Professional
8,8,acer Aspire 3 Ryzen 3 Dual Core 3250U,26990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/0/8/-original-imagkgr3wcfexyd8.jpeg?q=70,15.6,4.2,381.0,76.0,acer,Windows,AMD, Home/Everyday use
9,9,ASUS Vivobook 14 (2022) Core i5 12th Gen,66990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/u/o/-original-imagg6t9hc6wubth.jpeg?q=70,14.0,5.0,4.0,0.0,ASUS,Windows,Intel, Business/Professional
10,10,ASUS Vivobook 15 Core i3 11th Gen,37990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70,15.6,4.1,257.0,26.0,ASUS,Windows,Intel, Business/Professional
11,11,ASUS Core i7 11th Gen,56990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/q/o/-original-imag7wjdg4dvcdya.jpeg?q=70,15.6,4.1,137.0,18.0,ASUS,Windows,Intel, Business/Professional
12,12,DELL Vostro Core i3 11th Gen,39990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/o/u/-original-imaghkk994ybh4fh.jpeg?q=70,15.6,4.1,143.0,11.0,DELL,Windows,Intel, Business/Professional
13,13,realme Book (Slim) Core i3 11th Gen,46990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,14.0,4.4,12584.0,1870.0,realme,Windows,Intel, Home/Everyday use
14,14,HP 14s Intel Core i3 11th Gen,37990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70,14.0,4.2,1779.0,160.0,HP,Windows,Intel, Home/Everyday use
15,15,HP Ryzen 5 Hexa Core 5500U,49123,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,15.6,4.3,328.0,34.0,HP,Windows,AMD, Business/Professional
16,16,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,47990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70,15.6,4.4,2239.0,299.0,MSI,Windows,AMD, Business/Professional
17,17,ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen,86500,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/z/r/-original-imaggskgx4ze73fn.jpeg?q=70,14.0,4.4,9.0,0.0,ASUS,Windows,Intel, Creative/Design
18,18,APPLE 2020 Macbook Air M1,86990,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70,13.3,4.7,8865.0,795.0,APPLE,MacOS,Apple M1, Multimedia/Entertainment
19,19,HP 15s Intel Core i3 12th Gen,44990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/6/1/15s-fq5007tu-thin-and-light-laptop-hp-original-imagkwj68xgexkhy.jpeg?q=70,15.6,4.2,93.0,17.0,HP,Windows,Intel, Home/Everyday use
20,20,HP Intel Core i5 11th Gen,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/b/8/15s-fr4000tu-thin-and-light-laptop-hp-original-imaghrcwmt7v5svk.jpeg?q=70,15.6,4.3,68.0,7.0,HP,Windows,Intel, Business/Professional
21,21,HP Ryzen 3 Quad Core 5300U,38990,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,15.6,4.2,1911.0,208.0,HP,Windows,AMD, Business/Professional
22,22,Lenovo IdeaPad 3 Core i3 11th Gen,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70,14.0,4.2,870.0,66.0,Lenovo,Windows,Intel, Home/Everyday use
23,23,ASUS Core i3 10th Gen,33990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ks4yz680/computer/q/5/z/x409fa-ek617t-thin-and-light-laptop-asus-original-imag5rwhrgjtgkyq.jpeg?q=70,14.0,4.4,19.0,0.0,ASUS,Windows,Intel, Business/Professional
24,24,HP Athlon Dual Core 3050U,26990,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70,14.0,4.0,754.0,79.0,HP,Windows,AMD, Budget Friendly
25,25,Lenovo Intel Core i3 11th Gen,38500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,15.6,4.3,453.0,38.0,Lenovo,Windows,Intel, Business/Professional
26,26,HP Ryzen 5 Hexa Core 5500U,45909,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70,14.0,4.2,1979.0,202.0,HP,Windows,AMD, Business/Professional
27,27,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,49990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/computer/8/4/i/-original-imagcsyu53jxgtqe.jpeg?q=70,15.6,4.4,1233.0,149.0,ASUS,Windows,AMD, Creative/Design
28,28,HP 15s Intel Core i3 11th Gen,40950,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/e/i/d/15s-fr2511tu-thin-and-light-laptop-hp-original-imagg59a7s5kymvy.jpeg?q=70,15.6,4.3,388.0,40.0,HP,Windows,Intel, Business/Professional
29,29,Lenovo Intel Core i5 11th Gen,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70,15.6,4.5,14.0,1.0,Lenovo,Windows,Intel, Business/Professional
30,30,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,99990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/8/e/j/-original-imagckcffymgykfd.jpeg?q=70,15.6,4.4,127.0,16.0,ASUS,Windows,AMD, Gaming
31,31,ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,59990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/z/c/-original-imaghr25cncfgpza.jpeg?q=70,15.6,4.5,870.0,105.0,ASUS,Windows,AMD, Creative/Design
32,32,HP 15s Intel Core i5 12th Gen,58018,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/6/4/-original-imagkqwzbryf6sp7.jpeg?q=70,15.6,4.2,2011.0,167.0,HP,Windows,Intel, Business/Professional
33,33,Lenovo IdeaPad 3 Core i3 11th Gen,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,15.6,4.3,4658.0,449.0,Lenovo,Windows,Intel, Business/Professional
34,34,SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,32990,Qualcomm Snapdragon 7c Gen 2 Processor,4 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/computer/z/m/a/np340xla-ka1in-thin-and-light-laptop-samsung-original-imagcgqvcvcbsun6.jpeg?q=70,14.0,4.2,109.0,18.0,SAMSUNG,Windows,Qualcomm, Budget Friendly
35,35,HP Pavilion Ryzen 5 Hexa Core 5625U,53990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/w/i/-original-imagmnmsbhuxbazf.jpeg?q=70,14.0,4.2,128.0,21.0,HP,Windows,AMD, Business/Professional
36,36,acer Swift 3 Core i5 12th Gen,64990,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l48s9zk0/computer/e/n/0/-original-imagf6z3yxgmucxj.jpeg?q=70,14.0,4.5,325.0,52.0,acer,Windows,Intel, Business/Professional
37,37,Lenovo IdeaPad 3 Core i5 11th Gen,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,15.6,4.2,280.0,21.0,Lenovo,Windows,Intel, Business/Professional
38,38,realme Book (Slim) Core i3 11th Gen,46990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70,14.0,4.4,12584.0,1870.0,realme,Windows,Intel, Home/Everyday use
39,39,ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i7 12th Gen,109990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/computer/d/d/r/fa777rm-hx019w-gaming-laptop-asus-original-imagcg8q8kqgycxy.jpeg?q=70,17.3,4.3,59.0,11.0,ASUS,Windows,Intel, Gaming
40,40,HP Pavilion Intel Core i5 12th Gen,68114,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/v/m/-original-imagmnmr59pmudx6.jpeg?q=70,14.0,4.4,301.0,22.0,HP,Windows,Intel, Business/Professional
41,41,Lenovo IdeaPad 3 Core i5 12th Gen,56049,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70,15.6,4.2,247.0,21.0,Lenovo,Windows,Intel, Business/Professional
42,42,ASUS VivoBook 14 Pentium Silver,25990,Intel Pentium Silver Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,14.0,4.1,233.0,32.0,ASUS,Windows,Intel, Budget Friendly
43,43,acer Extensa Core i3 11th Gen,33990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5e81ow0/computer/j/w/o/ex-215-54-thin-and-light-laptop-acer-original-imagg28wzdeny2jq.jpeg?q=70,15.6,4.2,741.0,84.0,acer,Windows,Intel, Home/Everyday use
44,44,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,38990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,32 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,14.0,4.2,431.0,39.0,ASUS,Windows,AMD, Multimedia/Entertainment
45,45,DELL Core i5 12th Gen,67990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,15.6,4.5,28.0,0.0,DELL,Windows,Intel, Business/Professional
46,46,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,40990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70,14.0,4.3,389.0,44.0,ASUS,Windows,Intel, Home/Everyday use
47,47,ASUS Vivobook 15 Core i5 11th Gen,49990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70,15.6,4.2,206.0,20.0,ASUS,Windows,Intel, Business/Professional
49,49,ASUS Zenbook 14X (2022) Space Edition Core i9 12th Gen,159990,Intel Core i9 Processor (12th Gen),32 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l30hmkw0/computer/y/r/c/-original-image8cfzz5chjas.jpeg?q=70,14.0,4.7,6.0,2.0,ASUS,Windows,Intel, Creative/Design
50,50,MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H,74990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/r/z/alpha-15-amd-advantage-edition-b5eek-gaming-laptop-msi-original-imaghffgxvfmtcpg.jpeg?q=70,15.6,4.5,413.0,63.0,MSI,Windows,AMD, Gaming
52,52,ASUS Vivobook 14 (2022) Core i3 12th Gen,46990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/2/t/-original-imagg6t9xpv4rr8v.jpeg?q=70,14.0,5.0,7.0,2.0,ASUS,Windows,Intel, Business/Professional
53,53,DELL Core i5 12th Gen,57990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/r/c/-original-imaghzah5hzzt2hw.jpeg?q=70,15.6,3.8,25.0,2.0,DELL,Windows,Intel, Business/Professional
54,54,acer Aspire 7 Ryzen 5 Hexa Core AMD R5,51990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/e/h/-original-imagjyc69gh3a8wu.jpeg?q=70,15.6,4.4,5533.0,674.0,acer,Windows,AMD, Gaming
56,56,APPLE 2020 Macbook Air M1,86990,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/v/x/v/na-thin-and-light-laptop-apple-original-imag5jt7u9fzenqb.jpeg?q=70,13.3,4.7,8865.0,795.0,APPLE,MacOS,Apple M1, Creative/Design
